day,dataid,airconditioning,rh,Tc,Tw,Td,sWBGT,DI,HI,HUMIDEX
1/1/18,661,,58.63779528,-2.659667542,-4.444444444,-9.864391951,2.461939995,-3.552055993,22.38983465,-8.199173028
1/1/18,1642,,58.63779528,-2.659667542,-4.444444444,-9.864391951,2.461939995,-3.552055993,22.38983465,-8.199173028
1/1/18,9922,,58.63779528,-2.659667542,-4.444444444,-9.864391951,2.461939995,-3.552055993,22.38983465,-8.199173028
1/1/18,9278,,58.63779528,-2.659667542,-4.444444444,-9.864391951,2.461939995,-3.552055993,22.38983465,-8.199173028
1/1/18,9160,,58.63779528,-2.659667542,-4.444444444,-9.864391951,2.461939995,-3.552055993,22.38983465,-8.199173028
1/1/18,4373,,58.63779528,-2.659667542,-4.444444444,-9.864391951,2.461939995,-3.552055993,22.38983465,-8.199173028
1/1/18,7719,,58.63779528,-2.659667542,-4.444444444,-9.864391951,2.461939995,-3.552055993,22.38983465,-8.199173028
1/1/18,7800,,58.63779528,-2.659667542,-4.444444444,-9.864391951,2.461939995,-3.552055993,22.38983465,-8.199173028
1/1/18,3039,,58.63779528,-2.659667542,-4.444444444,-9.864391951,2.461939995,-3.552055993,22.38983465,-8.199173028
1/1/18,3538,,58.63779528,-2.659667542,-4.444444444,-9.864391951,2.461939995,-3.552055993,22.38983465,-8.199173028
1/1/18,4031,,58.63779528,-2.659667542,-4.444444444,-9.864391951,2.461939995,-3.552055993,22.38983465,-8.199173028
1/1/18,2818,,58.63779528,-2.659667542,-4.444444444,-9.864391951,2.461939995,-3.552055993,22.38983465,-8.199173028
1/1/18,8565,,58.63779528,-2.659667542,-4.444444444,-9.864391951,2.461939995,-3.552055993,22.38983465,-8.199173028
1/1/18,9019,,58.63779528,-2.659667542,-4.444444444,-9.864391951,2.461939995,-3.552055993,22.38983465,-8.199173028
1/1/18,7951,,58.63779528,-2.659667542,-4.444444444,-9.864391951,2.461939995,-3.552055993,22.38983465,-8.199173028
1/1/18,8386,,58.63779528,-2.659667542,-4.444444444,-9.864391951,2.461939995,-3.552055993,22.38983465,-8.199173028
1/1/18,4767,,58.63779528,-2.659667542,-4.444444444,-9.864391951,2.461939995,-3.552055993,22.38983465,-8.199173028
1/1/18,3456,,58.63779528,-2.659667542,-4.444444444,-9.864391951,2.461939995,-3.552055993,22.38983465,-8.199173028
1/1/18,7901,,58.63779528,-2.659667542,-4.444444444,-9.864391951,2.461939995,-3.552055993,22.38983465,-8.199173028
1/1/18,7536,,58.63779528,-2.659667542,-4.444444444,-9.864391951,2.461939995,-3.552055993,22.38983465,-8.199173028
1/1/18,8156,,58.63779528,-2.659667542,-4.444444444,-9.864391951,2.461939995,-3.552055993,22.38983465,-8.199173028
1/1/18,5746,,58.63779528,-2.659667542,-4.444444444,-9.864391951,2.461939995,-3.552055993,22.38983465,-8.199173028
1/1/18,2361,,58.63779528,-2.659667542,-4.444444444,-9.864391951,2.461939995,-3.552055993,22.38983465,-8.199173028
1/1/18,6139,,58.63779528,-2.659667542,-4.444444444,-9.864391951,2.461939995,-3.552055993,22.38983465,-8.199173028
